time,velocity_smooth,heartrate,cadence
1130,0,150,92
1135,0,151,93
1140,0,151,94
1145,0,151,93
1150,0,152,93
1155,0,152,94
1160,0,154,93
1165,0,155,92
1170,0,155,91
1175,0,155,91
1180,0,156,91
1185,0,157,92
1190,0,157,92
1195,0,158,93
1200,0,158,92
1205,0,158,92
1210,0,157,93
1215,0,159,93
1220,0,159,92
1225,0,160,92
1230,0,159,92
1235,0,159,92
1240,0,159,92
1245,0,160,92
1250,0,157,93
1255,0,157,93
1260,0,156,92
1265,0,154,92
1270,0,154,91
1275,0,153,91
1280,0,152,91
1285,0,151,90
1290,0,150,90
1295,0,151,90
1300,0,151,89
1305,0,151,89
1310,0,149,89
1315,0,148,89
1320,0,148,89
1325,0,148,89
1330,0,146,89
1335,0,145,88
1340,0,146,88
1345,0,145,89
1350,0,145,89
1355,0,143,89
1360,0,143,90
1365,0,143,89
1370,0,143,90
1375,0,144,88
1380,0,145,91
1385,0,144,91
1390,0,144,91
1395,0,144,90
1400,0,144,90
1405,0,144,89
1410,0,143,89
1415,0,144,89
1420,0,143,90
1425,0,143,89
1430,0,144,89
1435,0,144,89
1440,0,144,89
1445,0,143,89
1450,0,143,88
1455,0,144,88
1460,0,143,89
1465,0,140,88
1470,0,141,88
1475,0,142,88
1480,0,141,88
1485,0,142,89
1490,0,143,88
1495,0,143,88
1500,0,142,89
1505,0,141,89
1510,0,140,89
1515,0,141,89
1520,0,140,89
1525,0,140,89
1530,0,141,89
1535,0,141,89
1540,0,142,89
1545,0,144,89
1550,0,143,89
1555,0,142,89
1560,0,141,88
1565,0,140,88
1570,0,142,88
1575,0,141,88
1580,0,140,88
1585,0,139,88
1590,0,139,89
1595,0,141,89
1600,0,142,89
1605,0,142,89
1610,0,142,89
1615,0,141,89
1620,0,143,89
1625,0,143,88
1630,0,144,88
1635,0,143,89
1640,0,143,89
1645,0,142,89
1650,0,142,89
1655,0,143,89
1660,0,143,89
1665,0,144,89
1670,0,144,89
1675,0,144,89
1680,0,144,90
1685,0,144,90
1690,0,145,90
1695,0,144,90
1700,0,145,90
1705,0,145,89
1710,0,145,90
1715,0,146,90
1720,0,146,90
1725,0,145,89
1730,0,145,89
1735,0,145,90
1740,0,145,90
1745,0,145,90
1750,0,145,90
1755,0,146,88
1760,0,146,89
1765,0,146,89
