time,distance,lat,lng,velocity_smooth,heartrate,cadence
281,507.9,-22.494821,-41.932178,1.98,109,77
282,509.8,-22.494804,-41.932178,1.96,109,77
283,511.7,-22.494787,-41.932178,1.96,109,77
284,513.6,-22.49477,-41.932178,1.96,109,77
285,515.3,-22.494755,-41.932175,1.86,112,78
286,517,-22.49474,-41.932175,1.82,112,78
287,518.8,-22.494724,-41.932178,1.8,112,78
288,520.3,-22.494711,-41.932182,1.72,112,78
289,522,-22.494698,-41.93219,1.68,112,78
290,523.7,-22.494686,-41.932201,1.68,110,78
291,525.5,-22.494675,-41.932213,1.7,110,78
292,527.5,-22.494663,-41.932228,1.74,110,78
293,529.5,-22.494652,-41.932243,1.84,110,78
294,531.5,-22.49464,-41.932259,1.9,110,78
295,533.5,-22.494629,-41.932274,1.96,110,78
296,535.6,-22.494617,-41.932289,2.02,110,78
297,538,-22.494604,-41.932308,2.1,110,78
298,539.9,-22.494591,-41.93232,2.08,110,78
299,541.9,-22.494579,-41.932335,2.08,110,78
300,544.1,-22.494566,-41.93235,2.12,108,78
301,546.3,-22.494553,-41.932365,2.14,108,78
302,548,-22.494541,-41.932377,2,108,78
303,550,-22.49453,-41.932392,2.02,108,78
304,552,-22.494518,-41.932407,2.02,108,78
305,553.9,-22.494509,-41.932423,1.96,107,78
306,556.1,-22.494499,-41.932442,1.96,107,78
307,558.2,-22.494488,-41.932457,2.04,107,78
308,560.2,-22.494476,-41.932472,2.04,107,78
309,561.9,-22.494465,-41.932484,1.98,107,78
310,563.6,-22.494452,-41.932491,1.94,109,78
311,565.1,-22.494438,-41.932491,1.8,109,78
312,566.6,-22.494425,-41.932487,1.68,109,78
313,568.1,-22.494411,-41.932484,1.58,109,78
314,570,-22.494398,-41.932472,1.62,109,78
315,571.9,-22.494385,-41.932461000000004,1.66,110,77
316,573.7,-22.494373,-41.932449,1.72,110,77
317,575.4,-22.494362,-41.932438,1.76,110,77
318,577.4,-22.49435,-41.932423,1.86,110,77
319,579.3,-22.494341,-41.932407,1.86,110,77
320,580.6,-22.494335,-41.932396,1.74,111,77
321,582.7,-22.494329,-41.932377,1.8,111,77
322,584.3,-22.494327,-41.932362,1.78,111,77
323,586.3,-22.494329,-41.932342,1.78,111,77
324,588.3,-22.494335,-41.932323,1.8,111,77
325,590.5,-22.494343,-41.932304,1.98,110,77
326,592.7,-22.494352,-41.932285,2,110,77
327,594.9,-22.494362,-41.932266,2.12,110,77
328,596.9,-22.494373,-41.932251,2.12,110,77
329,599.3,-22.494385,-41.932232,2.2,110,77
330,601.3,-22.494396,-41.932217,2.16,112,77
331,603.5,-22.494406,-41.932198,2.16,112,77
332,605.7,-22.494413,-41.932178,2.16,112,77
333,607.3,-22.494419,-41.932163,2.08,112,77
334,609.3,-22.494423,-41.932144,2,112,77
335,610.9,-22.494425,-41.932129,1.92,112,77
336,612.5,-22.494425,-41.932114,1.8,112,77
337,614.5,-22.494425,-41.932095,1.76,112,77
338,616.4,-22.494425,-41.932075,1.82,112,77
339,618,-22.494423,-41.93206,1.74,112,77
340,620,-22.494423,-41.932041,1.82,112,78
341,621.9,-22.494421,-41.932022,1.88,112,78
342,623.9,-22.494417,-41.932003,1.88,112,78
343,625.5,-22.494415,-41.931988,1.82,112,78
344,627.5,-22.494413,-41.931969,1.9,112,78
345,629.1,-22.49441,-41.931953,1.82,113,77
346,630.7,-22.494406,-41.931938,1.76,113,77
347,632.3,-22.494402,-41.931923,1.68,113,77
348,634,-22.494396,-41.931908,1.7,113,77
349,635.7,-22.49439,-41.931892,1.64,113,77
350,637.4,-22.494385,-41.931877,1.66,112,77
351,639.2,-22.494377,-41.931862,1.7,112,77
352,641.1,-22.494368,-41.931847,1.76,112,77
353,642.9,-22.49436,-41.931831,1.78,112,77
354,644.9,-22.494349,-41.931816,1.84,112,77
355,646.9,-22.494337,-41.931801,1.9,112,77
356,648.9,-22.494326,-41.931786,1.94,112,77
357,651,-22.494314,-41.93177,1.98,112,77
358,653,-22.494299,-41.931759,2.02,112,77
359,655.2,-22.494286,-41.931744,2.06,112,77
360,657.3,-22.494272,-41.931728,2.08,112,77
361,659.4,-22.494257,-41.931717,2.1,112,77
362,661.6,-22.494244,-41.931702,2.12,112,77
363,663.5,-22.49423,-41.93169,2.1,112,77
364,665.5,-22.494219,-41.931675,2.06,112,77
365,667.4,-22.494205,-41.931663,2.02,112,77
366,669.4,-22.494194,-41.931648,2,112,77
367,671.1,-22.494183,-41.931637,1.9,112,77
368,672.9,-22.494171,-41.931625,1.88,112,77
369,674.8,-22.494158,-41.931614,1.86,112,77
370,676.9,-22.494144,-41.931599,1.9,114,77
371,678.7,-22.494133,-41.931587,1.86,114,77
372,680.8,-22.49412,-41.931572,1.94,114,77
373,682.5,-22.494108,-41.931561,1.92,114,77
374,684.6,-22.494097,-41.931545,1.96,114,77
375,686.6,-22.494085,-41.93153,1.94,114,77
376,688.5,-22.494076,-41.931515,1.96,114,77
377,690.2,-22.494064,-41.931503,1.88,114,77
378,692,-22.494057,-41.931488,1.9,114,77
379,694.1,-22.494049,-41.931469,1.9,114,77
380,695.9,-22.494041,-41.931454,1.86,113,77
381,697.7,-22.494034,-41.931438,1.84,113,77
382,699.5,-22.494026,-41.931423,1.86,113,77
383,701.6,-22.494019,-41.931404,1.92,113,77
384,703.5,-22.494009,-41.931389,1.88,113,77
385,705.5,-22.493998,-41.931374,1.92,113,77
386,707.5,-22.493986,-41.931358,1.96,113,77
387,709.6,-22.493971,-41.931347,2.02,113,77
388,711.5,-22.493956,-41.931339,1.98,113,77
389,713.2,-22.49394,-41.931335,1.94,113,77
390,715.1,-22.493923,-41.931335,1.92,113,77
391,717,-22.493906,-41.931335,1.9,113,77
392,719,-22.493889,-41.931339,1.88,113,77
393,721,-22.493872,-41.931347,1.9,113,77
394,722.9,-22.493856,-41.931354,1.94,113,77
395,724.8,-22.493841,-41.931362,1.94,113,78
396,726.8,-22.493826,-41.931374,1.96,113,78
397,728.5,-22.493812,-41.931381,1.9,113,78
398,730.3,-22.493801,-41.931393,1.86,113,78
399,731.9,-22.493788,-41.9314,1.8,113,78
400,733.8,-22.493774,-41.931412,1.8,112,77
401,735.7,-22.493761,-41.931423,1.78,112,77
402,737.6,-22.493748,-41.931435,1.82,112,77
403,739.5,-22.493734,-41.931446,1.84,112,77
404,741.4,-22.493721,-41.931458,1.9,112,77
405,743.3,-22.493708,-41.931469,1.9,111,77
406,745,-22.493694,-41.931477,1.86,111,77
407,746.9,-22.493681,-41.931488,1.86,111,77
408,748.5,-22.493668,-41.931496,1.8,111,77
409,750.4,-22.493652,-41.931503,1.8,111,77
410,752.2,-22.493637,-41.931507,1.78,112,77
411,753.9,-22.493622,-41.931511,1.78,112,77
412,755.6,-22.493607,-41.931507,1.74,112,77
413,757.2,-22.493593,-41.931503,1.74,112,77
414,759.2,-22.493578,-41.931492,1.76,112,77
415,761,-22.493566,-41.93148,1.76,112,78
416,762.7,-22.493555,-41.931469,1.76,112,78
417,764.5,-22.493547,-41.931454,1.78,112,78
418,766.2,-22.493542,-41.931438,1.8,112,78
419,767.8,-22.493538,-41.931423,1.72,112,78
420,769.4,-22.493536,-41.931408,1.68,112,78
421,771,-22.493534,-41.931393,1.66,112,78
422,772.2,-22.49353,-41.931381,1.54,112,78
423,773.8,-22.493526,-41.931366,1.52,112,78
424,775.5,-22.493521,-41.931351,1.54,112,78
425,776.9,-22.493515,-41.931339,1.5,112,78
426,778.6,-22.493509,-41.931324,1.52,112,78
427,780.5,-22.4935,-41.931309,1.66,112,78
428,782.2,-22.493492,-41.931293,1.68,112,78
429,784,-22.493484,-41.931278,1.7,112,78
430,785.9,-22.493475,-41.931263,1.8,114,77
431,788.1,-22.493465,-41.931244,1.9,114,77
432,790,-22.493456,-41.931229,1.9,114,77
433,792,-22.493444,-41.931213,1.96,114,77
434,793.9,-22.493435,-41.931198,1.98,114,77
435,795.7,-22.493423,-41.931187,1.96,116,78
436,797.7,-22.493412,-41.931171,1.92,116,78
437,799.6,-22.493402,-41.931156,1.92,116,78
438,801.3,-22.493391,-41.931145,1.86,116,78
439,803.3,-22.49338,-41.931129,1.88,116,78
440,805.2,-22.493366,-41.931118,1.9,115,77
441,807.1,-22.493353,-41.931107,1.88,115,77
442,809,-22.493339,-41.931095,1.88,115,77
443,810.9,-22.493326,-41.931084,1.92,115,77
444,812.8,-22.493313,-41.931072,1.9,115,77
445,814.8,-22.493301,-41.931057,1.92,116,77
446,816.7,-22.493288,-41.931046,1.92,116,77
447,818.7,-22.493277,-41.93103,1.94,116,77
448,820.5,-22.493265,-41.931019,1.92,116,77
449,822.6,-22.493252,-41.931004,1.96,116,77
450,824.5,-22.493238,-41.930992,1.94,117,77
451,826.4,-22.493225,-41.930981,1.94,117,77
452,828.7,-22.49321,-41.930965,2,117,77
453,830.6,-22.493196,-41.930954,2.02,117,77
454,832.8,-22.493183,-41.930939,2.04,117,77
455,834.7,-22.49317,-41.930927,2.04,116,77
456,836.8,-22.493156,-41.930912,2.08,116,77
457,838.7,-22.493143,-41.930901,2,116,77
458,840.7,-22.493132,-41.930885,2.02,116,77
459,842.6,-22.493118,-41.930874,1.96,116,77
460,844.7,-22.493107,-41.930859,2,117,77
461,846.2,-22.493097,-41.930847,1.88,117,77
462,848,-22.493086,-41.930836,1.86,117,77
463,850,-22.493074,-41.93082,1.86,117,77
464,851.7,-22.493063,-41.930809000000004,1.82,117,77
465,851.7,-22.493063,-41.930809000000004,1.4,118,77
466,853.5,-22.493051,-41.930798,1.46,118,77
469,863.8,-22.493006,-41.93071,2.42,118,77
470,865.1,-22.493,-41.930698,2.68,117,76
471,866.5,-22.49299,-41.930691,2.6,117,76
472,867.9,-22.492983,-41.930679,2.4,117,76
473,869.4,-22.492975,-41.930668,2.271,117,76
474,871,-22.492966,-41.930656,1.44,117,76
475,873,-22.492954,-41.930641,1.58,117,77
476,874.7,-22.492943,-41.93063,1.64,117,77
477,876.6,-22.492933,-41.930614,1.74,117,77
478,878.3,-22.492922,-41.930603,1.78,117,77
479,880.1,-22.49291,-41.930592,1.82,117,77
480,882.1,-22.492899,-41.930576,1.82,120,77
481,883.8,-22.492887,-41.930565,1.82,120,77
482,885.5,-22.492876,-41.930553,1.78,120,77
483,887.6,-22.492865,-41.930538,1.86,120,77
484,889.3,-22.492853,-41.930527,1.84,120,77
485,891.5,-22.49284,-41.930511,1.88,119,77
486,893.5,-22.492828,-41.930496,1.94,119,77
487,895.2,-22.492817,-41.930485,1.94,119,77
488,897.2,-22.492805,-41.930469,1.92,119,77
489,899.2,-22.492794,-41.930454,1.98,119,77
490,901,-22.492783,-41.930443,1.9,117,77
491,902.9,-22.492769,-41.930431,1.88,117,77
492,905,-22.492756,-41.930416,1.96,117,77
493,907.1,-22.492741,-41.930405,1.98,117,77
494,909,-22.492727,-41.930393,1.96,117,77
495,911,-22.492712,-41.930382,2,116,77
496,912.9,-22.492699000000002,-41.93037,2,116,77
497,914.8,-22.492685,-41.930359,1.96,116,77
498,916.8,-22.492674,-41.930344,1.94,116,77
499,918.8,-22.49266,-41.930332,1.96,116,77
500,920.8,-22.492649,-41.930317,1.96,116,77
501,922.7,-22.492636,-41.930305,1.96,116,77
502,924.8,-22.492622,-41.93029,2,116,77
503,926.5,-22.492611,-41.930279,1.94,116,77
504,928.6,-22.492599,-41.930263,1.96,116,77
505,930.5,-22.492586,-41.930252,1.94,116,77
506,932.2,-22.492575,-41.930241,1.9,116,77
507,934.2,-22.492563,-41.930225,1.88,116,77
508,936.1,-22.49255,-41.930214,1.92,116,77
509,938,-22.492537,-41.930202,1.88,116,77
510,939.9,-22.492523,-41.930191,1.88,117,77
511,942,-22.492508,-41.93018,1.96,117,77
512,944,-22.492493,-41.930168,1.96,117,77
513,945.9,-22.492479,-41.930157,1.96,117,77
514,947.8,-22.492466,-41.930145,1.96,117,77
515,949.5,-22.492455,-41.930134,1.92,118,77
516,951.4,-22.492441,-41.930122,1.88,118,77
517,953.2,-22.49243,-41.930111,1.84,118,77
518,955.1,-22.492416,-41.930099,1.84,118,77
519,957,-22.492403,-41.930088,1.84,118,77
520,958.7,-22.492392,-41.930077,1.84,119,77
521,960.8,-22.492378,-41.930061,1.88,119,77
522,962.8,-22.492369,-41.930046,1.92,119,77
523,964.8,-22.492357,-41.930031,1.94,119,77
524,966.7,-22.492348,-41.930016,1.94,119,77
525,968.5,-22.492338,-41.93,1.96,120,78
526,970.4,-22.492329,-41.929985,1.92,120,78
527,972.3,-22.492319,-41.92997,1.9,120,78
528,974.2,-22.49231,-41.929954,1.88,120,78
529,976.4,-22.492302,-41.929935,1.94,120,78
530,978.5,-22.492294,-41.929916,2,118,78
531,980.2,-22.492289,-41.929901,1.96,118,78
532,982.2,-22.492285,-41.929882,1.98,118,78
533,984.2,-22.492285,-41.929863,2,118,78
534,986.1,-22.492287,-41.929844,1.94,118,78
535,987.8,-22.492292,-41.929829,1.86,117,78
536,990,-22.492302,-41.92981,1.96,117,78
537,992.3,-22.492311,-41.92979,2.02,117,78
538,994.3,-22.492323,-41.929775,2.02,117,78
539,996.5,-22.492336,-41.92976,2.08,117,78
540,998.3,-22.49235,-41.929749,2.1,116,78
541,1000.2,-22.492363,-41.929737,2.04,116,78
542,1001.5,-22.492374,-41.929737,1.84,116,78
543,1002.6,-22.492384,-41.929741,1.66,116,78
544,1003.7,-22.49239,-41.929749,1.44,116,78
545,1005.2,-22.492392,-41.929764,1.38,117,78
546,1006.9,-22.492388,-41.929779,1.34,117,78
